[Fri Oct  7 23:59:52 2022] PHP 8.1.5 Development Server (http://127.0.0.1:8000) started
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15021 Accepted
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15021 [200]: GET /images/googlelogo_color_116x41dp.png
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15021 Closing
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15022 Accepted
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15022 [200]: GET /images/locked_doc-2.svg
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15022 Closing
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15023 Accepted
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15023 [200]: GET /fonts/pxiDypQkot1TnFhsFMOfGShVF9eO.woff2
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15023 Closing
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15024 Accepted
[Sat Oct  8 00:01:12 2022] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_FOR" in C:\Users\Kassoum\Documents\Cyber security\codes\Hacking Tools\Pentest_tools\phising_test\php\helpers.php on line 31
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15024 [200]: POST /query_handler.php
[Sat Oct  8 00:01:12 2022] 127.0.0.1:15024 Closing
[Sat Oct  8 00:06:44 2022] 127.0.0.1:15249 Accepted
[Sat Oct  8 00:06:44 2022] 127.0.0.1:15250 Accepted
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15250 [200]: GET /?token=cfjenefmklemfklmfkef209123mkerf
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15250 Closing
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15249 [200]: GET /css/main.css
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15249 Closing
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15251 Accepted
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15252 Accepted
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15251 [200]: GET /js/script.js
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15252 [200]: GET /js/locate.js
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15251 Closing
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15252 Closing
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15253 Accepted
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15254 Accepted
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15253 [200]: GET /images/googlelogo_color_116x41dp.png
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15254 [200]: GET /images/locked_doc-2.svg
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15253 Closing
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15254 Closing
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15255 Accepted
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15255 [200]: GET /fonts/pxiDypQkot1TnFhsFMOfGShVF9eO.woff2
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15255 Closing
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15256 Accepted
[Sat Oct  8 00:06:45 2022] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_FOR" in C:\Users\Kassoum\Documents\Cyber security\codes\Hacking Tools\Pentest_tools\phising_test\php\helpers.php on line 31
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15256 [200]: POST /query_handler.php
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15256 Closing
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15257 Accepted
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15257 [404]: GET /images/drive_favicon1.ico - No such file or directory
[Sat Oct  8 00:06:45 2022] 127.0.0.1:15257 Closing
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15263 Accepted
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15263 [200]: GET /?token=cfjenefmklemfklmfkef209123mkerf
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15263 Closing
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15264 Accepted
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15264 [200]: GET /css/main.css
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15266 Accepted
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15264 Closing
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15267 Accepted
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15266 [200]: GET /js/script.js
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15266 Closing
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15267 [200]: GET /js/locate.js
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15267 Closing
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15268 Accepted
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15269 Accepted
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15268 [200]: GET /images/googlelogo_color_116x41dp.png
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15269 [200]: GET /images/locked_doc-2.svg
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15268 Closing
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15269 Closing
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15270 Accepted
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15270 [200]: GET /fonts/pxiDypQkot1TnFhsFMOfGShVF9eO.woff2
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15270 Closing
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15271 Accepted
[Sat Oct  8 00:06:56 2022] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_FOR" in C:\Users\Kassoum\Documents\Cyber security\codes\Hacking Tools\Pentest_tools\phising_test\php\helpers.php on line 31
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15271 [200]: POST /query_handler.php
[Sat Oct  8 00:06:56 2022] 127.0.0.1:15271 Closing
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15335 Accepted
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15335 [200]: GET /?token=cfjenefmklemfklmfkef209123mkerf
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15335 Closing
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15336 Accepted
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15337 Accepted
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15336 [200]: GET /css/main.css
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15337 [200]: GET /js/script.js
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15338 Accepted
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15338 [200]: GET /js/locate.js
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15336 Closing
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15337 Closing
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15338 Closing
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15339 Accepted
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15339 [200]: GET /images/googlelogo_color_116x41dp.png
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15339 Closing
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15340 Accepted
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15340 [200]: GET /images/locked_doc-2.svg
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15340 Closing
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15341 Accepted
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15341 [200]: GET /fonts/pxiDypQkot1TnFhsFMOfGShVF9eO.woff2
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15341 Closing
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15342 Accepted
[Sat Oct  8 00:09:08 2022] PHP Warning:  Undefined array key "HTTP_X_FORWARDED_FOR" in C:\Users\Kassoum\Documents\Cyber security\codes\Hacking Tools\Pentest_tools\phising_test\php\helpers.php on line 31
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15342 [200]: POST /query_handler.php
[Sat Oct  8 00:09:08 2022] 127.0.0.1:15342 Closing
